Spanish,English
que,that
de,from
no,no
a,to
la,the
el,the
ser,to be
y,Y
en,in
lo,it
un,a
por,for
qué,what
me,I
un,a
te,tea
lo,it
se,I know
con,with
para,for
mi,me
estar,be
si,Yes
bien,good
pero,but
yo,me
eso,that
la,the
sí,Yes
su,his
tu,you
aquí,here
del,of
al,to the
como comer,how to eat.
le,you
más,plus
esto,this
ya,already
esta,is
ir,go
muy,very
haber,to have
ahora,now
algo,something
estar,be
tener,have
nos,us
tú,your
nada,any
cuando,when
haber,to have
este,this
saber,to know
estar,be
así,So
poder,can
cómo,What
querer,want
sólo,alone
ser,to be
tener,have
gracias,Thank you
o,or
él,he
bueno,Okay
ser ir,be
ser,to be
hacer,do
ser,to be
todo,everything
ser,to be
ser,to be
vez,time
tener,have
creer,believe
ella,her
haber,to have
ese,that
ir,go
poder,can
saber,to know
hola,hello
su,his
porque,because
dios,God
quién,who
nunca,never
dónde,where
querer,want
casa casar,house to marry
favor,favor
ese,that
dos,two
tanto,so much
señor,Mister
tiempo,weather
verdad,truth
estar,be
mejor,better
estar,be
ir,go
hombre,man
usted,you
mucho,much
hacer,do
entonces,then
sentir sentar,feel together
tener,have
poder,can
ahí,there
ti,you
vida,life
ver,see
alguien,someone
señor,Mister
hasta,until
sin,without
mí,my
solo,only
año,year
sobre,about
decir,tell
uno,one
siempre,forever
oh,Oh
ir,go
cosa coser,sew
también,too
antes,before
haber,to have
ni,neither
mi,me
día,day
estar,be
estar,be
noche,night
nadie,no one
otro,other
querer,want
parecer,seem
nosotros,us
poco,little bit
padre,dad
trabajo trabajar,Work work
gente,people
mirar,look at
ir,go
ser,to be
les,them
donde,where
mismo,same
hacer hecho,do
ellos,they
decir,tell
pasar,pass
dinero,money
hijo,son
tal,such
otro,other
hablar,speak
seguro,sure
claro,Clear
este,this
lugar,place
mundo,world
amigo,friend
esperar espera,wait wait
mierda,shit
haber,to have
tu,you
saber,to know
después,after
momento,moment
desde,from
fuera ir ser,Outside go be
cosa coser,sew
tipo,type
mañana,morning
poder,can
decir,tell
grande,big
necesitar,need
estar estado,Be a state
poder,can
acordar acuerdo,agree on agreement
papá,father
tener,have
decir,tell
mío,Own
creer,believe
bueno buena,good good
gustar,like
nuestro,our
nuevo,new
ser,to be
hacer,do
día,day
nombre,Name
bueno,Okay
haber,to have
ver venir,see ahead
tres,three
menos,less
deber,must
tener,have
mal,evil
conmigo,with me
madre,mother
hoy,today
quien,who
ser,to be
mamá,mother
tener,have
luego,later
allí,there
hora,hour
mujer,woman
ver,see
hacer,do
importar,to import
contigo,with you
ver ir,see
tarde tardar,Tarday afternoon
oír,hear
partir parte,I share a part
haber,to have
hombre,man
problema,trouble
mas,more
saber,to know
querer,want
aún,still
vez,time
nuestro,our
hacer,do
cada,each
hacer,do
ver,see
tanto,so much
razón,reason
usted,you
idea,idea
eso,that
ir,go
quizá,maybe
deber,must
alguno,any
cierto,certain
usted,you
muerto morir,Dead dying
un,a
este,this
salir,get out
policía,police
realmente,Really
demasiado,too
familia,family
poder,can
cabeza,head
haber,to have
amigo,friend
chico chica,Chico girl
cariño,sweetie
lado,side
allá,there
entre,Come in
minuto,minute
decir,tell
algún,some
serio,I laughed
cuidar cuidado,take care of care
pasar,pass
bueno,Okay
ser,to be
amor,love
puerta,door
ver,see
ir,go
ah,ah
suerte,luck
eh,Hey
rápido,Quick
contar cuenta,count
quizás,maybe
ese,that
pues,well
pasar pasado,past.
pensar,think
todavía,yet
hermano,brother
deber,must
casi,almost
forma,shape
aquí,here
chico,guy
ok,okay
decir dicho,to say said
nuevo nueva,new new
saber,to know
mucho,much
dentro,within
hacer,do
contra,against
auto,car
camino caminar,Walk Walking
ayuda ayudar,Help help
primero primera,first first
hacia,toward
ver,see
miedo,afraid
adiós,bye
primero,first
deber,must
poder,can
niño,little boy
ser,to be
historia,history
hey,Hey
mientras,While
ciudad,town
decir,tell
esperar,expect
cuánto,how many
esposa esposar,wife handcuff
pronto,early
chico,guy
cualquier,any
viejo,old
deber,must
dejar,let
año,year
muerte,death
hablar,speak
mano,hand
dar,give
loco,mad
problema,trouble
mano,hand
guerra,war
semana,week
pasar,pass
valer vale,Valer Vale.
cuál,which one
venir,come
volver,return
tomar,have
caso casar,CASE CASE.
agua,Water
hacer,do
ir,go
entender,understand
hora,hour
persona,person
capitán,captain
adelante,ahead
niño,little boy
listo,ready
noche,night
bueno,Okay
ir,go
junto,together
dar,give
único,unique
dejar,let
cerca cercar,Fence fence
otro,other
seguir,"follow, continue"
grande,big
arriba,above
jefe,chief
hablar habla,Speak talk about
suponer,suppose
manera,manner
querer,want
feliz,happy
significar,to mean
sangre,blood
fin,end
bajar bajo,lower low.
llamar llama,call call
venir,come
morir,To die
importante,important
hacer,do
ojo,eye
escuchar,hear
entrar,get in
ninguno,none
corazón,heart
diablo,Devil
necesitar,need
atrás,behind
durante,during
decir,tell
nuestro,our
persona,person
abajo,below
doctor,doctor
hija,daughter
dejar,let
necesitar,need
llegar,arrive
hacer,do
señora,Ms
haber haya,have
suficiente,enough
doctor,doctor
gustar,like
tierra,Earth
cara,expensive
siquiera,even
genial,cool
creer,believe
suponer,suppose
tomar,have
equipo equipar,Equipment equipment
justo,just
juego jugar,game play
ninguno,none
matar,kill
cinco,five
decir,tell
amo amar,I love to love
cuándo,when
pequeño,small
alguno,any
conocer,know
clase,class
maldito,damned
un,a
mucho,much
haber,to have
segundo,second
aunque,even if
poder,can
decir,tell
igual,same
comida comer,food eat
ay,Oh
cuerpo,Body
encontrar,meet
fuerte,strong
vuelta volver,Back back
venir,come
creer,believe
realidad,reality
saber,to know
puta,bitch
deber,must
pregunta preguntar,Question ask
ir ser,go be
cuatro,four
señora,Ms
primero,first
trabajar,to work
y,Y
hacer,do
alto,high
maldito,damned
comer,to eat
número,number
dar,give
necesitar,need
oportunidad,chance
punto,point
mismo,same
último,latest
afuera,outside
mujer,woman
pensar,think
ir ser,go be
difícil,hard
vivir,to live
paso pasar,passing
malo,bad
estar,be
vivir vivo,Live alive.
hacer,do
quedar,stay
hijo,son
mayor,higher
fiesta,party
hacer,do
medio,medium
alguno,any
bastar,be enough
arma armar,ARMA ARMAR.
venir vino,coming wine
mes,month
cuarto,bedroom
este,this
escuela,school
estar,be
dólar,dollar
tío,uncle
posible,possible
tener,have
fácil,easy
preocupar,worry
luz,light
ser,to be
carajo,Carajo.
final,final
lista listo,ready ready
tratar,try
arma armar,ARMA ARMAR.
hermana,sister
exactamente,exactly
chica,girl
poder,can
bastante,Quite
seguridad,security
pasar,pass
esperar,expect
acá,here
teléfono,telephone
perro,dog
fuego,fire
morir,To die
tampoco,either
solo,only
estar,be
ver,see
ir,go
tener,have
culpa culpar,blame blame
veras,you'll see
adónde,where to
buscar,search for
cuanto,how much
padre,dad
paz,peace
demonio,Devil
estar,be
cual,which
perdón,sorry
así,So
jugar,play
pensar,think
esperar,expect
saber,to know
recuerdo recordar,I remember remember
par,pair
joven,young
seguir,"follow, continue"
pueblo,town
tener,have
caballero,gentleman
idiota,moron
dar,give
minuto,minute
bebé,baby
único,unique
lejos,far
nuestro,our
plan,plan
pensar,think
sentido sentir,sense feeling
dormir,sleep
decir,tell
palabra,word
correcto,Right
control,control
ver,see
entender,understand
país,country
seis,six
último,latest
ésta,is
decir,tell
poder,can
pequeña,little
callar,to silence
trato tratar,I try to treat
rey,King
suceder,happen
muchacho,young guy
jamás,Never
cama,bed
señorita,miss
ayudar,help
acerca acercar,About Approach
dar,give
cambio cambiar,Change change
falta faltar,Missing
hospital,hospital
llevar,bring
presidente,President
mil,thousand
gusto gustar,pleasure like it
conocer,know
